street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
CLAUSEWITZSTR. / KURFÜRSTENDAMM,1,2017,24,13.3091278,52.5002907,,2,,,4389412-27607436
DAMASCHKESTR. / JOACHIM-FRIEDRICH-STR. / KRACAUERPLATZ,2,2017,24,13.2966521,52.5014621,,3,,,4389511-4389570-4396417
DANCKELMANNSTR.,2,2017,24,13.2909518338393,52.5142193759452,0.0,1,787.16568538943,1574.33137077886,15920077
DANCKELMANNSTR. / KAISERDAMM / WITZLEBENPLATZ,1,2017,24,13.29158425,52.510621,,3,,,4436950-4490373-15920077
DANCKELMANNSTR. / SEELINGSTR.,1,2017,24,13.2907313,52.5153417,,2,,,4515891-15920077
DERNBURGSTR. / HERBARTSTR.,1,2017,24,13.2874319,52.5030462,,2,,,4490214-4616318
DERNBURGSTR. / NEUE KANTSTR. / WUNDTSTR.,1,2017,24,13.283727200000001,52.5064498,,3,,,4396015-4490214-4581910
DROYSENSTR.,1,2017,24,13.3005796419957,52.5017314111152,0.0,1,327.96124825357,655.92249650714,4396420
DROYSENSTR. / GERVINUSSTR. / WINDSCHEIDSTR.,1,2017,24,13.3007554,52.5032022,,3,,,4396420-4396421-4444449
EOSANDERSTR.,1,2017,24,13.3024960644423,52.5202236994007,0.0,1,518.544712121237,1037.089424242474,4517116
ERNST-BUMM-WEG / SOPHIE-CHARLOTTEN-STR.,1,2017,24,13.2864002,52.5196789,,2,,,4446513-34035533
FRIEDBERGSTR.,1,2017,24,13.2947983372448,52.5041369975306,0.4622102027312697,1,481.570749704727,740.5545855589826,4480560
GERVINUSSTR.,1,2017,24,13.3019526662766,52.503457158011,0.19311846362617202,1,897.581324681055,1621.8231229601604,4396421
GERVINUSSTR. / HEILBRONNER STR. / HOLTZENDORFFSTR. / KRACAUERPLATZ,2,2017,24,13.2962227,52.502209,,4,,,4375670-4389570-4396013-4396421
GERVINUSSTR. / LEWISHAMSTR. / MOMMSENSTR.,3,2017,24,13.304363675000001,52.50366535,,3,,,4396421-4436888-4436890
GIERKEZEILE,2,2017,24,13.3027952994331,52.5155867806077,0.0,1,579.222851894974,1158.445703789948,4495201
GIERKEZEILE / HAUBACHSTR.,2,2017,24,13.3028111,52.5155079,,2,,,4495201-4495205
GIESEBRECHTSTR. / KURFÜRSTENDAMM,2,2017,24,13.311859,52.5005665,,2,,,4389412-4437120
GIESEBRECHTSTR. / WILMERSDORFER STR.,1,2017,24,13.3077966,52.502987,,2,,,4436887-4437120
GOERDELERDAMM / REICHWEINDAMM / A 100 BAB / 100 AD CHARLOTTENBURG AUSFAHRT N GOE,1,2017,24,13.2975334,52.5345863,,2,,,4446679-4536966
HAUBACHSTR. / KAISER-FRIEDRICH-STR.,1,2017,24,13.3009434,52.5153974,,2,,,4436919-4495205
ILSENBURGER STR. / KAISERIN-AUGUSTA-ALLEE,1,2017,24,13.3098765,52.5257333,,2,,,4403874-4413173
KAISERDAMM,5,2017,24,13.2853010849809,52.5101440915463,1.0,1,3144.06568683045,3144.06568683045,4436950
KAISERDAMM / RIEHLSTR.,1,2017,24,13.2862613,52.5102055,,2,,,4436950-4616319
KAISERDAMM / SOPHIE-CHARLOTTEN-STR.,1,2017,24,13.289241,52.5103918,,2,,,4436950-4446513
KAISERDAMM / WITZLEBENSTR.,3,2017,24,13.2957968,52.5107888,,2,,,4436950-5544317
KAISERDAMM / WUNDTSTR.,1,2017,24,13.2922129,52.5107455,,2,,,4436950-4581910
KAISER-FRIEDRICH-STR.,2,2017,24,13.3012648623529,52.5125570459452,1.0,1,3185.05668957547,3185.05668957547,4436919
KAISER-FRIEDRICH-STR. / KANTSTR.,2,2017,24,13.30233105,52.50670565,,2,,,4396016-4436919
KAISER-FRIEDRICH-STR. / OTTO-SUHR-ALLEE / SPANDAUER DAMM / LUISENPLATZ,1,2017,24,13.299632566666666,52.519613850000006,,4,,,4403985-4421114-4436919-4446695
KAISER-FRIEDRICH-STR. / PESTALOZZISTR.,1,2017,24,13.3020985,52.507956500000006,,2,,,4436919-4490163
KAISER-FRIEDRICH-STR. / SCHILLERSTR.,2,2017,24,13.3017962,52.50981445,,2,,,4436919-4475785
