street,count,year,directorate,lat,lng,features
FREIHEITSWEG,1,2015,12,13.3548635156706,52.5759287384163,4804132
FRIEDRICH-WILHELM-STR.,1,2015,12,13.3634514842086,52.5692274700229,48906754
FROHNAUER STR.,1,2015,12,13.2921131185613,52.6243387588405,10620897
GLIENICKER STR.,1,2015,12,13.3088864617734,52.617739411428,48395698
GOLLANCZSTR. / RAPPENWEG,1,2015,12,13.2865151,52.6436504,6247948-30932048
GRANATENSTR. / PROVINZSTR.,1,2015,12,13.379178,52.5688805,4610131-10616060
HAUSOTTERSTR. / RESIDENZSTR. / STARGARDTSTR.,2,2015,12,13.3627676,52.5666076,4594653-4637947-32009527
HERBSTSTR. / SOMMERSTR.,3,2015,12,13.3774198,52.5712531,4637937-4764692
HERMSDORFER STR. / ORANIENBURGER STR.,1,2015,12,13.3265459,52.6046487,4071964-4765947
HOFJÄGERALLEE,1,2015,12,13.2983098749268,52.6367511669979,26243963
HOLLÄNDERSTR. / MARKSTR.,2,2015,12,13.36451555,52.562688449999996,4610040-4610047
HOLZSTR. / LETTEALLEE / PROVINZSTR.,1,2015,12,13.3777555,52.5636178,4610131-4610176-4637776
IM WOLFSGARTENFELD,1,2015,12,13.3318798348519,52.5861279269337,4675305
JEAN-JAURÈS-STR.,1,2015,12,13.3221015773737,52.604360129753,4766077
KLEMKESTR.,2,2015,12,13.3682038155556,52.5744378615235,4071972
KÖNIGSHORSTER STR.,2,2015,12,13.3507469502295,52.5976971748601,4802809
KÜHLEWEINSTR. / PANKOWER ALLEE,1,2015,12,13.3704876,52.5640513,4610135-10755765
KÜHNEMANNSTR. / SCHWABSTR. / PROVINZSTR.,1,2015,12,13.378409,52.5660087,4610131-4637771-8913248
LENGEDER STR. / ROEDERNALLEE,2,2015,12,13.3451605,52.5812554,4068065-4380909
LETTEALLEE,2,2015,12,13.3716739705352,52.5632574154469,4610176
LINDAUER ALLEE / RESIDENZSTR.,2,2015,12,13.3590097,52.57331485,4067951-4594653
LUDOLFINGERPLATZ,1,2015,12,13.2882751498494,52.6328082667631,32459359
MARKSTR.,3,2015,12,13.3647554928134,52.560681419925,4610040
MARKSTR. / WALDERSEESTR.,2,2015,12,13.3646533,52.5612815,4610040-4610041
MAXIMILIANKORSO,1,2015,12,13.2786305251737,52.6341688572491,16885071
ORANIENBURGER STR.,7,2015,12,13.3338790664397,52.5906704581346,4071964
ORANIENBURGER STR. / GÖSCHENPLATZ,1,2015,12,13.3324697,52.597686,4071964-4765878
ORANIENBURGER STR. / RATHAUSPROMENADE / TESSENOWSTR.,1,2015,12,13.33328293616435,52.58142673892168,4071964-4675254-4675304
ORANIENBURGER STR. / SCHLITZER STR.,1,2015,12,13.3323736,52.5984932,4071964-4802791
ORANIENDAMM,8,2015,12,13.3211242927404,52.6094629430906,9774898
ORANIENDAMM / WAIDMANNSLUSTER DAMM / ZABEL-KRÜGER-DAMM,2,2015,12,13.3238076,52.6078615,4540101-4802391-9774898
PANKOWER ALLEE / REGINHARDSTR.,1,2015,12,13.3735122,52.5643197,4610134-10755765
PROVINZSTR.,3,2015,12,13.3788598376178,52.5676572039041,4610131
QUICKBORNER STR.,1,2015,12,13.3636145811134,52.6067307023854,4765339
RASCHDORFFSTR. / RESIDENZSTR. / THATERSTR.,3,2015,12,13.3621475,52.56780575,4594653-4637898-4638307
RESIDENZSTR.,9,2015,12,13.3637681737819,52.5650193591144,4594653
RESIDENZSTR. / RITTERLANDWEG,1,2015,12,13.3688645,52.5605939,4594653-4610132
RITTERLANDWEG,1,2015,12,13.3729024367465,52.5606690996091,4610132
ROBINIENWEG / TEGELER STR.,1,2015,12,13.3130001,52.6137608,4804482-22900000
ROEDERNALLEE,3,2015,12,13.3430962334298,52.5840289088583,4068065
SCHONACHER STR. / ZABEL-KRÜGER-DAMM / SCHLUCHSEESTR.,1,2015,12,13.3278784,52.6090183,4802391-4802431-4802554
SCHORFHEIDESTR.,1,2015,12,13.346523775372,52.5925090201707,11953271
SCHULZENDORFER STR. / BRANDTSTR. / HEINSESTR.,1,2015,12,13.3110499,52.6130517,4804662-20547483-28793517
SENFTENBERGER RING,2,2015,12,13.3563775135437,52.6051787867799,4802807
SENFTENBERGER RING / WILHELMSRUHER DAMM,2,2015,12,13.3561323,52.5966795,4765110-4802807
SIGISMUNDKORSO / LUDOLFINGERPLATZ,1,2015,12,13.2874323,52.6322887,16857795-32459359
SOMMERSTR. / KLEMKESTR.,1,2015,12,13.3732825,52.5747774,4071972-4637937
TESSENOWSTR.,1,2015,12,13.3387738301275,52.5822069935408,4675254
TIEFENSEER STR.,1,2015,12,13.3626239778486,52.5961729610689,4765357
TREUENBRIETZENER STR.,1,2015,12,13.3624548,52.5993326,4765338
TRIFTSTR.,1,2015,12,13.3187298892992,52.5898332690244,4645243
WAIDMANNSLUSTER DAMM,1,2015,12,13.2982888345046,52.5983495335394,4540101
WESENDORFER STR.,1,2015,12,13.361682854395,52.601473840283,21759542
WILHELMSRUHER DAMM,3,2015,12,13.3528476432306,52.5965100817386,4765110
WILTINGER STR. / ZELTINGER PLATZ,1,2015,12,13.2904724,52.6342954,4902505-4902523
WINTERSTR. / HAUSOTTERPLATZ,1,2015,12,13.3758444,52.5694524,4637946-291847341
WITTENAUER STR. / BLITZENRODER RING,1,2015,12,13.339881949999999,52.6064053,4802586-4802588
ZABEL-KRÜGER-DAMM,2,2015,12,13.3395116772596,52.6120303301954,4802391
ZELTINGER PLATZ / ZELTINGER PLATZ,1,2015,12,13.2905184683848,52.6334265033681,4902505
ALTENBERGER WEG / DIETZGENSTR.,1,2015,13,13.4017279,52.5885707,4764689-4777304
ALTENBERGER WEG / WALDSTR.,1,2015,13,13.3966756,52.5881207,4777277-4777304
AM BÜRGERPARK / LEONHARD-FRANK-STR.,1,2015,13,13.3885326,52.5694522,4764176-4764178
AM BÜRGERPARK / WILHELM-KUHR-STR.,1,2015,13,13.3912,52.5679551,4764176-10749740
AM NORDGRABEN / HEINZ-BRANDT-STR.,1,2015,13,13.381447600000001,52.5969607,23984630-145671810
AM SCHLOßPARK / OSSIETZKYSTR. / PARKSTR.,2,2015,13,13.4075487,52.5738855,4764644-4764656-4764658
AMALIENPARK / BREITE STR.,1,2015,13,13.4142897,52.5721626,4631947-24668380
